id,scenario,role,module,feature,steps,expected,status,comments
UAT-027,7-A (Stock Items),PROCUREMENT_OFFICER,Purchase Order,Create PO from RFQ,"1. After awarding RFQ, click 'Yes' to create PO
2. Or navigate to /procurement/purchase-orders/new?rfqId=[id]
3. Step 1 - PR & Vendor Selection:
   - PR auto-selected from RFQ
   - Vendor auto-selected (winning vendor)
   - Review details
4. Click 'Next'
5. Step 2 - PO Details:
   - Set Delivery Date
   - Enter Delivery Address:
     * Building
     * Street
     * City
     * Governorate
     * Postal Code
     * Country
   - Select Payment Terms (Net 30, Net 60, Advance, etc.)
   - Select Currency (default: OMR)
6. Click 'Next'
7. Step 3 - Items & Pricing:
   - Items auto-populated from PR
   - Enter Unit Price (from RFQ quote)
   - System calculates Total Price per item
   - Set delivery date per item (optional)
   - System calculates Total PO Amount
8. Click 'Next'
9. Step 4 - Terms & Conditions:
   - Enter Special Conditions
   - Enter Warranty Requirements
   - Enter Quality Standards
10. Click 'Submit' or 'Save as Draft'","1. PO created with unique PO Number (format: PO-YYYY-####)
2. Status: DRAFT or APPROVED (depends on approval rules)
3. If requires approval: workflow initiated
4. If auto-approved: status APPROVED
5. Acknowledgment token generated for vendor
6. PO visible in list
7. Linked to PR and RFQ (if applicable)",,
UAT-028,7-B (Services),PROCUREMENT_OFFICER,Service Contract,Create Service Contract from Service PR,"1. Navigate to /procurement/services/contracts
2. Click 'New Contract'
3. Select Approved Service PR
4. Fill Contract Details:
   - Select Vendor
   - Enter Contract Number (auto-generated option)
   - Select Contract Type (SERVICE_AGREEMENT, MAINTENANCE, RENTAL, CONSULTANCY)
   - Set Start Date
   - Set End Date
   - Enter Total Value
   - Select Currency
   - Enter Payment Terms
   - Define SLA Terms (JSON structure)
   - Enter Penalty Clause
   - Enter Performance Bond amount
   - Enter Retention Amount
   - Define Insurance Requirements
5. Add Milestones (from Service PR or new):
   - Milestone Number
   - Name
   - Description
   - Target Date
   - Completion Criteria
   - Payment Percentage
   - Amount (calculated from percentage)
6. Review all details
7. Click 'Create Contract'","1. Service Contract created with unique number
2. Status: DRAFT
3. All milestones saved
4. Total milestone payments = Total contract value
5. Can submit for approval
6. After approval and signing: status SIGNED
7. Can be activated: status ACTIVE
8. Vendor can view contract terms",,
UAT-029,8-A,PROCUREMENT_OFFICER,Purchase Order,Send PO to Vendor,"1. Navigate to /procurement/purchase-orders
2. Find APPROVED PO
3. Click on PO to view details
4. Review all information
5. Click 'Send to Vendor' button
6. Confirm sending","1. PO status changes: APPROVED → SENT
2. Email sent to vendor with:
   - PO details
   - Line items
   - Delivery address
   - Payment terms
   - Acknowledgment link: /po/acknowledge/[id]/[token]
   - PDF attachment
3. Sent timestamp recorded
4. Vendor can now acknowledge PO",,
UAT-030,8-B,VENDOR (External),Purchase Order,Acknowledge PO,"1. Receive PO email
2. Click acknowledgment link
3. Review complete PO details
4. Confirm ability to deliver
5. Click 'Acknowledge Purchase Order' button
6. Enter acknowledgment comments (optional)
7. Click 'Confirm'","1. PO status changes: SENT → ACKNOWLEDGED
2. Acknowledgment timestamp recorded
3. Acknowledgment details saved (date, comments)
4. Procurement receives notification
5. Vendor receives confirmation email
6. PO ready for delivery",,
UAT-031,9-A (Stock Items),WAREHOUSE_KEEPER/SITE_ENGINEER,Goods Receipt,Create GRN,"1. Login as WAREHOUSE_KEEPER or SITE_ENGINEER
2. Navigate to /procurement/receipts
3. Click 'New Goods Receipt'
4. Step 1 - Select PO:
   - Search for ACKNOWLEDGED PO
   - Select PO
   - PO details and items displayed
5. Click 'Next'
6. Step 2 - Receipt Details:
   - Received Date (auto-filled, can edit)
   - Received By (auto-filled from user)
   - Enter Delivery Note number
   - Enter Transport Details
7. Click 'Next'
8. Step 3 - Items Inspection:
   - For each item:
     * Ordered Quantity shown
     * Enter Received Quantity
     * Enter Accepted Quantity
     * Enter Rejected Quantity (if any)
     * If rejected: Enter Rejection Reason
     * Add Inspection Notes
   - System validates: Received = Accepted + Rejected
9. Click 'Next'
10. Step 4 - Quality Check:
   - Check 'Quality Checked' checkbox
   - Enter Quality Comments
   - Enter Quality Inspector name
   - Enter Storage Location
   - Enter Special Handling notes
11. Click 'Submit'","1. GRN created with unique GR Number (format: GRN-YYYY-####)
2. GRN items created for each PO item
3. If stock items: Inventory updated with accepted quantities
4. If non-stock items: No inventory update
5. PO status updates:
   - If partial receipt: PARTIAL
   - If fully received: COMPLETED
6. Three-way match can be triggered
7. Quality issues flagged if rejections
8. Procurement notified of receipt
9. Can create invoice now",,
UAT-032,9-B (Services),PROJECT_MANAGER/SITE_ENGINEER,Service Receipt,Create Service Receipt (SRN),"1. Navigate to /procurement/services/receipts
2. Click 'New Service Receipt'
3. Select Active Service Contract
4. Fill SRN Details:
   - SRN Number (auto-generated)
   - Receipt Date
   - Select Milestone (if milestone-based)
   - Enter Service Description
   - Define Deliverables (list of completed deliverables)
   - Enter Quality Rating (1-5 or 1-100)
   - Enter Performance Rating (1-5 or 1-100)
   - Enter Completion Percentage
   - Set Acceptance Status (PENDING by default)
   - Add Notes
   - Upload Attachments (photos, reports, etc.)
5. Review details
6. Click 'Submit for Acceptance'","1. SRN created with unique number
2. Status: PENDING acceptance
3. Milestone status updated if linked
4. Acceptance required before payment
5. Quality and performance scores recorded
6. Service performance tracking updated
7. Can approve/reject SRN
8. If approved: can create invoice",,
UAT-033,9-C,PROJECT_MANAGER,Service Receipt,Accept/Reject Service Receipt,"1. Navigate to /procurement/services/receipts
2. Find SRN with status PENDING
3. Click on SRN to review
4. Review:
   - Service description
   - Deliverables checklist
   - Quality rating
   - Performance rating
   - Attachments
5. If satisfactory:
   - Click 'Accept' button
   - Enter acceptance comments
   - Confirm acceptance
6. If unsatisfactory:
   - Click 'Reject' button
   - Enter rejection reason (mandatory)
   - Request corrective action","1. If ACCEPTED:
   - SRN status: ACCEPTED
   - Milestone marked COMPLETED (if linked)
   - Acceptance timestamp recorded
   - Can proceed to invoice
   - Vendor notified
2. If REJECTED:
   - SRN status: REJECTED
   - Vendor must address issues
   - New SRN may be required
   - Milestone remains IN_PROGRESS",,
UAT-034,10-A (Stock/Non-Stock),PROCUREMENT_OFFICER,Invoice Management,Create Invoice from GRN,"1. Navigate to /procurement/invoices
2. Click 'New Invoice'
3. Step 1 - PO & GR Selection:
   - Select Invoice Type: GOODS
   - Select PO (dropdown of received POs)
   - Select GRN (dropdown of GRs for selected PO)
   - Vendor auto-populated
4. Click 'Next'
5. Step 2 - Invoice Details:
   - Enter Invoice Number (from vendor)
   - Set Invoice Date
   - Set Due Date (auto-calculated based on payment terms)
   - Currency (from PO)
6. Click 'Next'
7. Step 3 - Line Items & Three-Way Matching:
   - Items auto-populated from GRN
   - For each item:
     * PO Quantity shown
     * GRN Quantity shown
     * PO Unit Price shown
     * Enter Invoice Quantity
     * Enter Invoice Unit Price
     * System calculates Invoice Total
   - System performs automatic matching:
     * Quantity Variance = Invoice Qty - GRN Qty
     * Price Variance = Invoice Price - PO Price
     * Total Variance = Invoice Total - (GRN Qty × PO Price)
     * Variance Percentage calculated
     * Matching Status determined:
       - MATCHED: variances within tolerance
       - QUANTITY_VARIANCE: qty mismatch
       - PRICE_VARIANCE: price mismatch
       - BOTH_VARIANCE: both mismatches
   - Overall matching result shown:
     * MATCHED: Green - can auto-approve
     * DISCREPANCY: Red - requires review
8. Click 'Next'
9. Step 4 - Totals & Taxes:
   - Subtotal auto-calculated
   - Enter Tax Rate (%)
   - Tax Amount auto-calculated
   - Enter Discount Amount (if any)
   - Total Amount auto-calculated
   - Enter Payment Terms
   - Add Description/Notes
10. Review three-way match results
11. Click 'Submit'","1. Invoice created with unique Invoice Number
2. Three-way match performed automatically
3. If MATCHED:
   - Invoice status: VERIFIED
   - threeWayMatched: true
   - Ready for payment approval
4. If DISCREPANCY:
   - Invoice status: PENDING
   - threeWayMatched: false
   - Discrepancies documented
   - Requires procurement review
   - Must resolve discrepancies:
     * Contact vendor for credit note
     * Adjust quantities
     * Approve exception
5. Match result includes:
   - PO amount vs Invoice amount
   - GRN amount vs Invoice amount
   - Variance details per item
   - Overall match percentage
6. Invoice linked to PO and GRN
7. Matching comments recorded",,
UAT-035,10-B (Services),PROCUREMENT_OFFICER,Invoice Management,Create Service Invoice from SRN,"1. Navigate to /procurement/invoices
2. Click 'New Invoice'
3. Step 1 - Select Invoice Type: SERVICE
4. Select Service Receipt (ACCEPTED status)
5. Service Contract and Milestone auto-populated
6. Step 2 - Invoice Details:
   - Enter Vendor Invoice Number
   - Set Invoice Date
   - Set Due Date
7. Step 3 - Service Items:
   - Milestone amount shown
   - Completion percentage from SRN
   - Calculate invoice amount:
     * If milestone-based: use milestone amount
     * If percentage-based: calculate proportional amount
   - Quality and performance ratings shown
8. Step 4 - Totals:
   - Calculate subtotal
   - Apply retention (if applicable)
   - Add taxes
   - Calculate net payable
9. Submit invoice","1. Service invoice created
2. Linked to Service Contract, Milestone, and SRN
3. Retention amount deducted if specified
4. Payment released after approval
5. Milestone payment recorded
6. Contract progress updated",,
UAT-036,11-A,PROCUREMENT_MANAGER/FINANCE_MANAGER,Invoice Management,Approve Invoice,"1. Navigate to /procurement/invoices
2. Filter by status: VERIFIED (three-way matched)
3. Click on invoice to review
4. Review:
   - Three-way match results (all green)
   - Invoice details
   - Supporting documents
   - Budget availability
5. Click 'Approve' button
6. Add approval comments
7. Confirm approval","1. Invoice status: VERIFIED → APPROVED
2. Approval recorded with timestamp and approver
3. Invoice ready for payment processing
4. Finance receives notification
5. Payment can be scheduled
6. Approval cannot be undone (must reject if error)",,
UAT-037,11-B,FINANCE_MANAGER,Payment Management,Process Payment,"1. Navigate to /procurement/payments
2. Click 'New Payment'
3. Select Approved Invoice(s)
4. Fill Payment Details:
   - Payment Date
   - Payment Method (Bank Transfer, Cheque, etc.)
   - Payment Reference
   - Amount (from invoice, can be partial)
   - Bank Account (vendor)
5. Review payment summary
6. Click 'Process Payment' or 'Submit for Approval'","1. Payment record created
2. If auto-approved: Payment status COMPLETED
3. If requires approval: Payment status PENDING_APPROVAL
4. Payment linked to invoice
5. Invoice payment status updated
6. Vendor payment history updated
7. Budget consumption recorded
8. Payment confirmation can be sent to vendor",,
UAT-038,12-A,All Users,Dashboard,View Procurement Dashboard,"1. Login to system
2. Navigate to /procurement/dashboard
3. View dashboard sections:
   - KPI Cards (top row)
   - Charts and Graphs
   - Recent Activity
   - Pending Actions
   - Budget Overview
   - Vendor Performance
4. Interact with filters:
   - Date Range
   - Department
   - Project
5. Click on KPI cards to drill down
6. Export data or charts","1. Dashboard loads within 3 seconds
2. All data accurate and real-time
3. KPI cards show:
   - Total PRs (count and trend)
   - Total POs (value and trend)
   - Pending Approvals (count)
   - Active Vendors (count)
   - Budget Utilization (percentage)
   - On-time Delivery Rate (percentage)
4. Charts display correctly:
   - PR status distribution (pie)
   - PO value by month (bar)
   - Vendor spend (bar)
   - Budget vs Actual (line)
5. Recent activity shows latest actions
6. Pending actions personalized to user role
7. Responsive design on all devices",,
UAT-039,12-B,All Users,Dashboard,View KPI Dashboard,"1. Navigate to /procurement/kpis
2. Select Period:
   - Weekly
   - Monthly
   - Quarterly
3. Set custom date range (optional)
4. View KPI cards (13 KPIs total):
   - Procurement Cycle Time
   - Requisition Approval Time
   - Budget Compliance Rate
   - On-Time Delivery Rate
   - Vendor Compliance Rate
   - Three-Way Match Success Rate
   - Cost Savings Percentage
   - Contract Adherence Rate
   - Stock Item Delivery Accuracy
   - Service Quality Rating
   - Inventory Turnover Rate
   - Dashboard Update Timeliness
   - Top Vendor Spend Contribution
5. Each KPI card shows:
   - Current value
   - Target value
   - Status indicator (green/red/gray)
   - Trend arrow
   - Supporting metrics
6. Click 'Export CSV' to download
7. Click 'Refresh' for latest data","1. All KPIs calculated from real data
2. Color-coded status:
   - Green: Meeting/exceeding target
   - Red: Below target
   - Gray: No target or neutral
3. Calculations accurate:
   - Cycle Time: days from PR creation to GR
   - Approval Time: days from submission to approval
   - Budget Compliance: (actual ÷ budget) × 100
   - On-Time Delivery: (on-time deliveries ÷ total) × 100
   - And so on for all 13 KPIs
4. Supporting details shown (counts, totals)
5. Filters by stock/non-stock/service
6. Export includes all data
7. Performance under 5 seconds",,
UAT-040,12-C,ADMIN/PROCUREMENT_MANAGER,Reporting,Generate Custom Report,"1. Navigate to /procurement/reports/advanced
2. Select Report Type:
   - Purchase Requisition Report
   - Purchase Order Report
   - Vendor Performance Report
   - Budget Utilization Report
   - Etc.
3. Select Table (for advanced):
   - From dropdown of available tables
4. Select Columns:
   - Check desired columns
   - Include related table columns
5. Apply Filters:
   - Date range
   - Status
   - Department
   - Custom filters
6. Preview Report
7. Export Format:
   - Excel
   - CSV
   - PDF-ready
8. Click 'Generate Report'","1. Report generated successfully
2. Preview shows correct data
3. Export downloads file
4. Excel format includes:
   - Headers
   - Data rows
   - Formatting
   - Formulas (if applicable)
5. Large datasets handled (thousands of rows)
6. Related data included correctly
7. Filters applied accurately",,
